Name,State,Notes,User,Tags,Created,Runtime,Sweep,accuracy,epoc,loss,round
pleasant-wind-300,finished,-,makkuror,,2022-12-13T20:32:05.000Z,12,,0.655882353,,0.214000921,49
usual-sound-294,finished,-,makkuror,,2022-12-13T20:31:29.000Z,6,,0.655882353,,0.213965716,48
lucky-planet-288,finished,-,makkuror,,2022-12-13T20:30:43.000Z,15,,0.65828877,,0.212951027,47
cool-blaze-282,finished,-,makkuror,,2022-12-13T20:30:00.000Z,15,,0.656684492,,0.21368611,46
smart-sponge-276,finished,-,makkuror,,2022-12-13T20:29:16.000Z,14,,0.637967914,,0.221815533,45
royal-snowball-270,finished,-,makkuror,,2022-12-13T20:28:38.000Z,7,,0.618181818,,0.234998388,44
crimson-violet-264,finished,-,makkuror,,2022-12-13T20:27:59.000Z,5,,0.618983957,,0.235107233,43
neat-universe-258,finished,-,makkuror,,2022-12-13T20:27:14.000Z,5,,0.618181818,,0.23488697,42
radiant-moon-252,finished,-,makkuror,,2022-12-13T20:26:39.000Z,5,,0.617379679,,0.236722865,41
vibrant-deluge-246,finished,-,makkuror,,2022-12-13T20:26:06.000Z,5,,0.61657754,,0.236155847,40
jumping-surf-240,finished,-,makkuror,,2022-12-13T20:25:23.000Z,15,,0.619786096,,0.23451692,39
generous-pyramid-234,finished,-,makkuror,,2022-12-13T20:24:41.000Z,5,,0.618181818,,0.235089276,38
lively-snowflake-228,finished,-,makkuror,,2022-12-13T20:23:45.000Z,14,,0.618983957,,0.234841391,37
earnest-microwave-222,finished,-,makkuror,,2022-12-13T20:23:12.000Z,6,,0.605080214,,0.249734355,36
sweet-feather-216,finished,-,makkuror,,2022-12-13T20:22:28.000Z,15,,0.606684492,,0.24916783,35
generous-flower-210,finished,-,makkuror,,2022-12-13T20:21:53.000Z,6,,0.585026738,,0.269697398,34
fluent-breeze-204,finished,-,makkuror,,2022-12-13T20:21:17.000Z,5,,0.58342246,,0.270122001,33
prime-spaceship-198,finished,-,makkuror,,2022-12-13T20:20:42.000Z,5,,0.58342246,,0.270331385,32
swept-waterfall-192,finished,-,makkuror,,2022-12-13T20:19:55.000Z,16,,0.585026738,,0.269762741,31
pleasant-field-186,finished,-,makkuror,,2022-12-13T20:19:06.000Z,11,,0.538235294,,0.303393202,30
avid-galaxy-180,finished,-,makkuror,,2022-12-13T20:18:31.000Z,6,,0.538235294,,0.303755985,29
peach-meadow-174,finished,-,makkuror,,2022-12-13T20:17:56.000Z,6,,0.536631016,,0.304030817,28
wild-armadillo-168,finished,-,makkuror,,2022-12-13T20:17:15.000Z,13,,0.539037433,,0.303544876,27
daily-sponge-162,finished,-,makkuror,,2022-12-13T20:16:41.000Z,6,,0.535828877,,0.304413599,26
stellar-puddle-156,finished,-,makkuror,,2022-12-13T20:15:54.000Z,19,,0.537433155,,0.304191518,25
wobbly-snowflake-150,finished,-,makkuror,,2022-12-13T20:15:08.000Z,8,,0.478342246,,0.345076565,24
misty-plant-144,finished,-,makkuror,,2022-12-13T20:14:31.000Z,5,,0.477540107,,0.345510259,23
amber-frost-138,finished,-,makkuror,,2022-12-13T20:13:54.000Z,7,,0.477540107,,0.345620135,22
cerulean-morning-132,finished,-,makkuror,,2022-12-13T20:13:07.000Z,15,,0.479144385,,0.344943855,21
faithful-glade-126,finished,-,makkuror,,2022-12-13T20:12:21.000Z,9,,0.477540107,,0.345427349,20
fast-vortex-120,finished,-,makkuror,,2022-12-13T20:09:57.000Z,104,,0.477540107,,0.345132095,19
avid-armadillo-114,finished,-,makkuror,,2022-12-13T20:08:08.000Z,34,,0.476737968,,0.346195531,18
dulcet-field-108,finished,-,makkuror,,2022-12-13T20:06:58.000Z,40,,0.428609626,,0.395340952,17
valiant-armadillo-102,finished,-,makkuror,,2022-12-13T20:06:10.000Z,13,,0.426203209,,0.395892633,16
golden-dream-96,finished,-,makkuror,,2022-12-13T20:05:35.000Z,6,,0.357486631,,0.459892784,15
different-firebrand-90,finished,-,makkuror,,2022-12-13T20:04:25.000Z,6,,0.357486631,,0.459875229,14
deft-sun-84,finished,-,makkuror,,2022-12-13T20:03:47.000Z,7,,0.35828877,,0.459750624,13
rural-puddle-78,finished,-,makkuror,,2022-12-13T20:02:55.000Z,15,,0.35828877,,0.459639406,12
glowing-breeze-72,finished,-,makkuror,,2022-12-13T20:02:02.000Z,5,,0.312566845,,0.535229811,11
young-lake-66,finished,-,makkuror,,2022-12-13T20:01:25.000Z,5,,0.311764706,,0.535203966,10
playful-donkey-60,finished,-,makkuror,,2022-12-13T19:59:34.000Z,8,,0.311764706,,0.535332547,9
wobbly-silence-54,finished,-,makkuror,,2022-12-13T19:58:48.000Z,13,,0.312566845,,0.535196197,8
hearty-water-48,finished,-,makkuror,,2022-12-13T19:58:10.000Z,5,,0.118181818,,0.62081722,7
hardy-sponge-42,finished,-,makkuror,,2022-12-13T19:57:22.000Z,5,,0.118181818,,0.620882023,6
classic-smoke-36,finished,-,makkuror,,2022-12-13T19:55:42.000Z,14,,0.118181818,,0.620882361,5
dazzling-snow-30,finished,-,makkuror,,2022-12-13T19:55:02.000Z,6,,0.004812834,,0.70765076,4
vague-plasma-24,finished,-,makkuror,,2022-12-13T19:54:22.000Z,6,,0.004812834,,0.707449372,3
solar-wind-18,finished,-,makkuror,,2022-12-13T19:53:46.000Z,5,,0.004812834,,0.70751652,2
devoted-mountain-12,finished,-,makkuror,,2022-12-13T19:53:03.000Z,13,,0.005614973,,0.707549738,1
soft-armadillo-6,finished,-,makkuror,,2022-12-13T19:52:10.000Z,20,,0.004812834,,0.707423844,0
